"id","Mating"
37282255,0
16402203,0
32434705,0
31987257,0
4093224,0
17479474,0
18763111,0
31177891,0
6949667,0
32113497,0
25872748,0
1567524,0
17433111,0
32128634,0
31589691,0
41239152,0
8298185,0
15790788,0
16943744,0
26405806,0
19159508,0
15110368,0
30535816,0
17454974,0
32523275,0
10636596,0
33208739,0
20337146,1
33319331,0
31936899,0
6760794,0
33138106,0
6718203,0
27515275,0
7494655,0
8013883,0
3813929,0
32230083,0
16238924,0
478136,0
34441786,0
7547864,1
7755736,0
32417501,0
17569154,0
15690803,0
32133544,0
17196928,0
35389334,0
17250660,0
31937196,0
6481078,0
7263620,0
13446360,0
7159285,0
34601683,0
7787033,0
31178811,0
43763626,0
31948551,0
7917308,0
17776608,0
16712446,0
16634406,0
16977832,0
13653993,0
4207626,0
7966492,0
31772287,1
4470312,0
34335745,0
32648658,0
31359604,0
34787380,0
31485360,0
8411934,0
1680794,0
16171152,0
20210061,0
16702969,0
33656577,0
1634918,0
20441299,0
31757839,0
29103617,0
35851667,0
33165502,0
34280391,0
8025011,0
9635430,0
16600891,0
33172538,0
1067936,0
15833086,0
29973533,0
7887442,0
17199616,0
4154885,0
15272135,0
31263422,0
31958127,0
32472438,0
26818665,0
29638144,0
16906895,0
36428354,0
4972587,0
34169598,0
17470340,0
16419456,0
95460,0
4241939,0
19583091,0
32175378,0
16031811,0
17611356,0
16765599,0
32986078,0
45551439,0
32698766,0
6115677,0
31518558,0
16962448,0
26821726,0
32117520,0
32582675,0
8520359,0
16867669,0
17604543,0
103925,0
18344620,0
8359129,0
8581432,0
30189639,0
33643752,0
18682408,0
1065119,0
17071891,0
32313618,0
3812993,0
17247969,0
8401672,0
8185524,0
34246749,0
28813341,0
16747304,0
16733988,0
7766638,0
19127811,0
16756782,0
31889652,0
31366843,0
17756556,0
32469656,0
7409150,0
33478977,0
16565393,0
17033258,0
34312765,0
17303552,0
17000174,0
7951838,0
8333190,0
1066847,0
31990661,0
2586331,0
10454145,0
17732355,0
35100144,0
25269077,1
31788467,0
32781525,0
37037977,0
8052163,0
3743559,0
2880791,0
33022431,0
35162879,0
7935335,0
6448957,0
6221309,0
9092505,0
7864693,0
30656506,0
35085838,0
34214385,0
2091535,0
16398455,0
4064261,0
4291199,0
4255669,0
34919401,0
8682056,0
15916501,0
17012892,0
15828420,0
28495977,0
16642068,0
28866860,0
16999392,0
32444111,0
35625409,0
7554852,0
7519490,0
31580699,1
8291636,0
7834438,0
16971812,0
31945343,0
35579339,0
15930792,1
9047231,0
8260104,0
7819315,0
3022505,1
34516984,0
5753466,1
38733046,0
24659286,0
